Country ISO3,Country Name,Postcode,Zone Name,CRESTA Scheme,CRESTA ID,Zone Name
AUS,Australia,2107,Avalon Beach,LowRes,Australia CR43,Sydney North
AUS,Australia,2108,Palm Beach,LowRes,Australia CR43,Sydney North
AUS,Australia,2110,Woolwich,LowRes,Australia CR43,Sydney North
AUS,Australia,2111,Tennyson Point,LowRes,Australia CR43,Sydney North
AUS,Australia,2112,Ryde,LowRes,Australia CR43,Sydney North
AUS,Australia,2113,North Ryde,LowRes,Australia CR43,Sydney North
AUS,Australia,2114,West Ryde,LowRes,Australia CR43,Sydney North
AUS,Australia,2115,Ermington,LowRes,Australia CR42,Sydney West
AUS,Australia,2116,Rydalmere,LowRes,Australia CR42,Sydney West
AUS,Australia,2117,Telopea,LowRes,Australia CR42,Sydney West
AUS,Australia,2118,Carlingford,LowRes,Australia CR43,Sydney North
AUS,Australia,2119,Beecroft,LowRes,Australia CR43,Sydney North
AUS,Australia,2120,Thornleigh,LowRes,Australia CR43,Sydney North
AUS,Australia,2121,North Epping,LowRes,Australia CR43,Sydney North
AUS,Australia,2122,Eastwood,LowRes,Australia CR43,Sydney North
AUS,Australia,2125,West Pennant Hills,LowRes,Australia CR43,Sydney North
AUS,Australia,2126,Cherrybrook,LowRes,Australia CR43,Sydney North
AUS,Australia,2127,Sydney Olympic Park,LowRes,Australia CR42,Sydney West
AUS,Australia,2128,Silverwater,LowRes,Australia CR42,Sydney West
AUS,Australia,2130,Summer Hill,LowRes,Australia CR41,Sydney South
AUS,Australia,2131,Ashfield,LowRes,Australia CR41,Sydney South
AUS,Australia,2132,Croydon,LowRes,Australia CR41,Sydney South
AUS,Australia,2133,Croydon Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2134,Burwood,LowRes,Australia CR41,Sydney South
AUS,Australia,2135,Strathfield,LowRes,Australia CR41,Sydney South
AUS,Australia,2136,Strathfield South,LowRes,Australia CR41,Sydney South
AUS,Australia,2137,North Strathfield,LowRes,Australia CR41,Sydney South
AUS,Australia,2138,Concord West,LowRes,Australia CR41,Sydney South
AUS,Australia,2140,Homebush,LowRes,Australia CR41,Sydney South
AUS,Australia,2141,Rookwood,LowRes,Australia CR42,Sydney West
AUS,Australia,2142,South Granville,LowRes,Australia CR42,Sydney West
AUS,Australia,2143,Birrong,LowRes,Australia CR41,Sydney South
AUS,Australia,2144,Auburn,LowRes,Australia CR42,Sydney West
AUS,Australia,2145,Westmead,LowRes,Australia CR42,Sydney West
AUS,Australia,2146,Toongabbie,LowRes,Australia CR42,Sydney West
AUS,Australia,2147,Seven Hills,LowRes,Australia CR42,Sydney West
AUS,Australia,2148,Arndell Park,LowRes,Australia CR42,Sydney West
AUS,Australia,2150,Parramatta,LowRes,Australia CR42,Sydney West
AUS,Australia,2151,North Parramatta,LowRes,Australia CR43,Sydney North
AUS,Australia,2152,Northmead,LowRes,Australia CR42,Sydney West
AUS,Australia,2153,Winston Hills,LowRes,Australia CR43,Sydney North
AUS,Australia,2154,Castle Hill,LowRes,Australia CR43,Sydney North
AUS,Australia,2155,Beaumont Hills,LowRes,Australia CR43,Sydney North
AUS,Australia,2156,Annangrove,LowRes,Australia CR43,Sydney North
AUS,Australia,2157,Glenorie,LowRes,Australia CR43,Sydney North
AUS,Australia,2158,Dural,LowRes,Australia CR43,Sydney North
AUS,Australia,2159,Galston,LowRes,Australia CR43,Sydney North
AUS,Australia,2160,Merrylands,LowRes,Australia CR42,Sydney West
AUS,Australia,2161,Yennora,LowRes,Australia CR42,Sydney West
AUS,Australia,2162,Sefton,LowRes,Australia CR42,Sydney West
AUS,Australia,2163,Villawood,LowRes,Australia CR41,Sydney South
AUS,Australia,2164,Wetherill Park,LowRes,Australia CR41,Sydney South
AUS,Australia,2165,Fairfield West,LowRes,Australia CR41,Sydney South
AUS,Australia,2166,Canley Vale,LowRes,Australia CR41,Sydney South
AUS,Australia,2167,Glenfield,LowRes,Australia CR41,Sydney South
AUS,Australia,2168,Sadleir,LowRes,Australia CR41,Sydney South
AUS,Australia,2170,Warwick Farm,LowRes,Australia CR41,Sydney South
AUS,Australia,2171,West Hoxton,LowRes,Australia CR41,Sydney South
AUS,Australia,2172,Voyager Point,LowRes,Australia CR41,Sydney South
