id,postcode,locality,state,long,lat
20042,1167,STAPLETON,NT,130.6254299,-11.75841975
20043,1168,THAMARRURR,NT,130.6254299,-11.75841975
20044,1169,TIPPERARY,NT,130.6254299,-11.75841975
20045,1170,TIVENDALE,NT,130.6254299,-11.75841975
20046,1171,TIWI ISLANDS,NT,130.6254299,-11.75841975
20047,1172,TORTILLA FLATS,NT,130.6254299,-11.75841975
20048,1173,TUMBLING WATERS,NT,130.6254299,-11.75841975
315,1174,UMBAKUMBA,NT,130.6254299,-11.75841975
20049,1175,VERNON ISLANDS,NT,130.6254299,-11.75841975
316,1176,VIRGINIA,NT,130.6254299,-11.75841975
317,1177,WADEYE,NT,130.6254299,-11.75841975
318,1178,WAGAIT BEACH,NT,130.7459083,-12.43399126
20050,1179,WAK WAK,NT,130.6254299,-11.75841975
20051,1180,WARRUWI,NT,130.6254299,-11.75841975
319,1181,WEDDELL,NT,130.6254299,-11.75841975
20052,1182,WEST ARNHEM,NT,130.6254299,-11.75841975
20053,1183,WICKHAM,NT,130.6254299,-11.75841975
320,1184,WINNELLIE,NT,130.6254299,-11.75841975
20054,1185,WISHART,NT,130.6254299,-11.75841975
321,1186,WOOLANING,NT,130.6254299,-11.75841975
20055,1187,WURRUMIYANGA,NT,130.6254299,-11.75841975
322,1188,BERRIMAH,NT,130.932068,-12.432024
323,1189,KNUCKEY LAGOON,NT,130.932068,-12.432024
24048,1190,HOLTZE,NT,130.9597671,-12.45763297
20056,1191,PINELANDS,NT,130.9597671,-12.45763297
20057,1192,ARCHER,NT,130.9580765,-12.52139649
326,1193,DRIVER,NT,130.974879,-12.475071
327,1194,DURACK,NT,130.974879,-12.475071
328,1195,FARRAR,NT,130.974879,-12.475071
329,1196,GRAY,NT,130.974879,-12.475071
330,1197,MARLOW LAGOON,NT,130.974879,-12.475071
331,1198,MOULDEN,NT,130.974879,-12.475071
332,1199,PALMERSTON,NT,130.974879,-12.475071
333,1201,SHOAL BAY,NT,130.974879,-12.475071
334,1202,WOODROFFE,NT,130.974879,-12.475071
335,1203,YARRAWONGA,NT,130.974879,-12.475071
336,1205,PALMERSTON,NT,130.974879,-12.475071
20058,1207,BAKEWELL,NT,130.9936551,-12.49684676
20059,1208,BELLAMACK,NT,130.9830307,-12.51562954
339,1209,GUNN,NT,130.957712,-12.502817
20060,1210,JOHNSTON,NT,131.0063506,-12.49297483
340,1211,MITCHELL,NT,130.957712,-12.502817
341,1212,ROSEBERY,NT,130.957712,-12.502817
342,1213,ROSEBERY HEIGHTS,NT,130.957712,-12.502817
20061,1214,ZUCCOLI,NT,131.0058233,-12.51070433
20062,1215,VIRGINIA,NT,131.0234875,-12.54686461
21821,1216,Coolalinga,NT,131.0415,-12.5231
343,1217,HOWARD SPRINGS,NT,131.013741,-12.452568
344,1218,VIRGINIA,NT,131.013741,-12.452568
24061,1219,GIRRAWEEN,NT,131.0962,-12.5255
345,1220,HERBERT,NT,131.100668,-12.557754
20063,1221,HUMPTY DOO,NT,131.1272564,-12.58487247
347,1222,MANTON,NT,131.016647,-12.704767
