Country Name,Cresta Id,Zone Code,Zone Name
Australia,Australia CR43,2111,Sydney North
Australia,Australia CR43,2112,Sydney North
Australia,Australia CR43,2113,Sydney North
Australia,Australia CR43,2114,Sydney North
Australia,Australia CR42,2115,Sydney West
Australia,Australia CR42,2116,Sydney West
Australia,Australia CR42,2117,Sydney West
Australia,Australia CR43,2118,Sydney North
Australia,Australia CR43,2119,Sydney North
Australia,Australia CR43,2120,Sydney North
Australia,Australia CR43,2121,Sydney North
Australia,Australia CR43,2122,Sydney North
Australia,Australia CR43,2125,Sydney North
Australia,Australia CR43,2126,Sydney North
Australia,Australia CR42,2127,Sydney West
Australia,Australia CR42,2128,Sydney West
Australia,Australia CR41,2130,Sydney South
Australia,Australia CR41,2131,Sydney South
Australia,Australia CR41,2132,Sydney South
Australia,Australia CR41,2133,Sydney South
Australia,Australia CR41,2134,Sydney South
Australia,Australia CR41,2135,Sydney South
Australia,Australia CR41,2136,Sydney South
Australia,Australia CR41,2137,Sydney South
Australia,Australia CR41,2138,Sydney South
Australia,Australia CR41,2140,Sydney South
Australia,Australia CR42,2141,Sydney West
Australia,Australia CR42,2142,Sydney West
Australia,Australia CR41,2143,Sydney South
Australia,Australia CR42,2144,Sydney West
Australia,Australia CR42,2145,Sydney West
Australia,Australia CR42,2146,Sydney West
Australia,Australia CR42,2147,Sydney West
Australia,Australia CR42,2148,Sydney West
Australia,Australia CR42,2150,Sydney West
Australia,Australia CR43,2151,Sydney North
Australia,Australia CR42,2152,Sydney West
Australia,Australia CR43,2153,Sydney North
Australia,Australia CR43,2154,Sydney North
Australia,Australia CR43,2155,Sydney North
Australia,Australia CR43,2156,Sydney North
Australia,Australia CR43,2157,Sydney North
Australia,Australia CR43,2158,Sydney North
Australia,Australia CR43,2159,Sydney North
Australia,Australia CR42,2160,Sydney West
Australia,Australia CR42,2161,Sydney West
Australia,Australia CR42,2162,Sydney West
Australia,Australia CR41,2163,Sydney South
Australia,Australia CR41,2164,Sydney South
Australia,Australia CR41,2165,Sydney South
Australia,Australia CR41,2166,Sydney South
Australia,Australia CR41,2167,Sydney South
Australia,Australia CR41,2168,Sydney South
Australia,Australia CR41,2170,Sydney South
Australia,Australia CR41,2171,Sydney South
Australia,Australia CR41,2172,Sydney South
Australia,Australia CR41,2173,Sydney South
Australia,Australia CR41,2174,Sydney South
Australia,Australia CR42,2175,Sydney West
Australia,Australia CR41,2176,Sydney South
Australia,Australia CR41,2177,Sydney South
Australia,Australia CR42,2178,Sydney West
Australia,Australia CR42,2179,Sydney West
Australia,Australia CR41,2190,Sydney South
Australia,Australia CR41,2191,Sydney South
Australia,Australia CR41,2192,Sydney South
Australia,Australia CR41,2193,Sydney South
Australia,Australia CR41,2194,Sydney South
Australia,Australia CR41,2195,Sydney South
Australia,Australia CR41,2196,Sydney South
Australia,Australia CR41,2197,Sydney South
Australia,Australia CR41,2198,Sydney South
Australia,Australia CR41,2199,Sydney South
Australia,Australia CR41,2200,Sydney South
Australia,Australia CR41,2203,Sydney South
Australia,Australia CR41,2204,Sydney South
Australia,Australia CR41,2205,Sydney South
Australia,Australia CR41,2206,Sydney South
Australia,Australia CR41,2207,Sydney South
Australia,Australia CR41,2208,Sydney South
Australia,Australia CR41,2209,Sydney South
Australia,Australia CR41,2210,Sydney South
Australia,Australia CR41,2211,Sydney South
Australia,Australia CR41,2212,Sydney South
Australia,Australia CR41,2213,Sydney South
Australia,Australia CR41,2214,Sydney South
Australia,Australia CR41,2216,Sydney South
Australia,Australia CR41,2217,Sydney South
Australia,Australia CR41,2218,Sydney South
Australia,Australia CR41,2219,Sydney South
Australia,Australia CR41,2220,Sydney South
Australia,Australia CR41,2221,Sydney South
Australia,Australia CR41,2222,Sydney South
Australia,Australia CR41,2223,Sydney South
Australia,Australia CR41,2224,Sydney South
Australia,Australia CR41,2225,Sydney South
Australia,Australia CR41,2226,Sydney South
Australia,Australia CR41,2227,Sydney South
Australia,Australia CR41,2228,Sydney South
Australia,Australia CR41,2229,Sydney South
Australia,Australia CR41,2230,Sydney South
Australia,Australia CR41,2231,Sydney South
Australia,Australia CR41,2232,Sydney South
Australia,Australia CR41,2233,Sydney South
Australia,Australia CR41,2234,Sydney South
Australia,Australia CR44,2250,Central Coast NSW
Australia,Australia CR44,2251,Central Coast NSW
Australia,Australia CR44,2256,Central Coast NSW
Australia,Australia CR44,2257,Central Coast NSW
Australia,Australia CR44,2258,Central Coast NSW
Australia,Australia CR44,2259,Central Coast NSW
Australia,Australia CR44,2260,Central Coast NSW
Australia,Australia CR44,2261,Central Coast NSW
Australia,Australia CR44,2262,Central Coast NSW
Australia,Australia CR44,2263,Central Coast NSW
Australia,Australia CR46,2264,Newcastle
Australia,Australia CR46,2265,Newcastle
Australia,Australia CR46,2267,Newcastle
Australia,Australia CR46,2278,Newcastle
Australia,Australia CR46,2280,Newcastle
Australia,Australia CR46,2281,Newcastle
Australia,Australia CR46,2282,Newcastle
Australia,Australia CR46,2283,Newcastle
Australia,Australia CR46,2284,Newcastle
Australia,Australia CR46,2285,Newcastle
Australia,Australia CR46,2286,Newcastle
Australia,Australia CR46,2287,Newcastle
Australia,Australia CR46,2289,Newcastle
Australia,Australia CR46,2290,Newcastle
Australia,Australia CR46,2291,Newcastle
Australia,Australia CR46,2292,Newcastle
Australia,Australia CR46,2293,Newcastle
Australia,Australia CR46,2294,Newcastle
Australia,Australia CR46,2295,Newcastle
Australia,Australia CR46,2296,Newcastle
Australia,Australia CR46,2297,Newcastle
Australia,Australia CR46,2298,Newcastle
Australia,Australia CR46,2299,Newcastle
Australia,Australia CR46,2300,Newcastle
Australia,Australia CR46,2302,Newcastle
Australia,Australia CR46,2303,Newcastle
Australia,Australia CR46,2304,Newcastle
Australia,Australia CR46,2305,Newcastle
Australia,Australia CR46,2306,Newcastle
Australia,Australia CR46,2307,Newcastle
Australia,Australia CR46,2308,Newcastle
Australia,Australia CR47,2311,Northern Slopes
Australia,Australia CR48,2312,Mid-North coast
Australia,Australia CR46,2315,Newcastle
Australia,Australia CR46,2316,Newcastle
Australia,Australia CR46,2317,Newcastle
Australia,Australia CR46,2318,Newcastle
Australia,Australia CR46,2319,Newcastle
Australia,Australia CR46,2320,Newcastle
Australia,Australia CR47,2321,Northern Slopes
Australia,Australia CR46,2322,Newcastle
Australia,Australia CR46,2323,Newcastle
Australia,Australia CR46,2324,Newcastle
Australia,Australia CR46,2325,Newcastle
Australia,Australia CR46,2326,Newcastle
Australia,Australia CR46,2327,Newcastle
Australia,Australia CR47,2328,Northern Slopes
